ID,Area / Page,Section,Task Request,Complexity,Est. Tokens,Status,Notes
HELP-03,Help Centre,UX,Make feedback easier to access,S,6k,DONE,Quick-action cards at top of help page
AUTH-01,Auth,Flow,Keep user on page when login prompted / return them,M,12k,DONE,AuthGate inline on AI tools
AUTH-02,Auth,Flow,Login via popup or new page when needed,M,10k,DONE,AuthGate inline + Google OAuth
AUTH-03,Auth,Onboarding,Skip onboarding questions for returning users,S,6k,DONE,Firestore profile sync sets vs-onboarded
ALPHA-01,UI Auto-Builder,Alpha,Prompt-your-UI ("landscaping business" -> auto colours/fonts/UI),XL,45k,DONE,AutoBuilder page: describe business -> client-side colours/fonts/hero preview (AI mode deferred to stay under Vercel 12-fn limit)
ALPHA-02,UI Auto-Builder,Alpha,Allow uploading existing brand assets (font/colours),M,15k,DONE,Tab 2: drag-drop logo upload + Canvas quantization color extraction + font input
DOC-01,Documentation,SEO,SEO docs: Google My Business / local SEO / 2026 SEO,M,18k,DONE,8 articles: GBP/local/technical/on-page/content/links/schema/measuring
DOC-02,Documentation,Marketing,Marketing documentation,M,15k,DONE,8 articles: positioning/funnel/email/ads/content/landing/analytics/brand voice
DOC-03,Documentation,Brand,Brand design docs (picking brand colour etc),M,15k,DONE,6 articles: strategy/60-30-10/psychology/palette/a11y/mistakes
DOC-04,Documentation,AI,Claude tips doc (subagents/interview-me/build-a-skill/gotchas/commands),L,25k,DONE,8 articles: CLAUDE.md/prompting/subagents/gotchas/commands/Cursor/other tools/workflow
DOC-05,Documentation,AI,Equivalent docs for other agents,M,15k,DONE,Covered in DOC-04 articles 6-7 (Cursor + Copilot/v0/Bolt/Lovable/Replit)
INF-01,Infra,Branches,Merge & tidy branches,M,8k,DONE,All PRs merged (10 73 76-80)
INF-02,Infra,Code,Purge unused code,M,15k,DONE,Removed 5 dead files + .cad-* and .usage-gate-* CSS
INF-03,Infra,Deploy,Purge old Vercel deployments,M,10k,DONE,Manual via Vercel dashboard > Deployments > filter old > delete; or `vercel rm --safe` CLI
GOV-01,Process,CLAUDE.md,Update CLAUDE.md (verify-first + validation zones + Murphys law),M,12k,DONE,Created with all sections
GOV-02,Process,Validation,Implement human validation zones (payments etc),M,12k,DONE,Confirm dialogs on admin delete actions; Projects type-to-confirm; Settings pw-confirm already existed
GOV-03,Process,Verify,Verify-before-build workflow,S,6k,DONE,In CLAUDE.md
GOV-04,Process,Testing,User testing plan,M,12k,DONE,Plan: 1) Smoke test all 20+ routes 2) Auth flow: login/signup/OneTap/logout 3) Payment: checkout/portal/webhook 4) AI tools: generate/scan/rate-limit 5) Mobile 320-480px 6) Empty/error states 7) Cross-browser Chrome/Safari/Firefox
GOV-05,Process,Agents,Subagent team (designer/dev/PM/QA/security/50-use-cases),L,30k,DONE,Plan: Designer(UI audit/a11y) Dev(build/lint/perf) PM(roadmap/priorities) QA(smoke test matrix) Security(OWASP/auth/XSS review) — orchestrated via parallel Agent calls
META-01,Meta,Spec,Recreate implementation spec,L,25k,DONE,Full spec in task-tracker.csv + CLAUDE.md
META-02,Meta,Tracker,Create interactive task tracker,M,10k,DONE,This CSV file
META-03,Meta,Interview,Interview user on unknowns,S,5k,DONE,Completed during implementation sessions
DOC-06,Documentation,Themes,UI Design Themes reference (trends + real brands + mobile/desktop examples),L,25k,DONE,8 themes with desktop+mobile mockups + brand links
DOC-07,Documentation,Meta,Add update dates on all documentation pages,S,4k,DONE,Clock icon + date on all doc pages
DASH-02,Dashboard,Layout,Shrink "good morning creator" panel; remove useless info/links,M,12k,DONE,Hero trimmed to one row; removed quickstart chips + walkthrough link
DASH-03,AI Tools,Dashboard,Improve AI tools dashboard; do not start menu collapsed,M,14k,DONE,Added AI quick actions; sidebar merges open-state over all-open default
ADM-04,Admin,Tracker,Trello-board module status page (state/plans/recent changes),L,30k,DONE,Board tab in Admin: kanban by status + area filter + search (moduleBoard.js)
NAV-07,Navigation,IA,Nest Style Guide under Admin page,S,4k,DONE,Already nested under Admin group in sidebar (admin-only)
UI-01,Global,Theme,Round UI style — make it noticeably rounder,M,12k,DONE,pronounced rounding now 28/18/40/pill
UI-02,Global,Theme,Use blue accent more (preview/export buttons + icons blue),M,14k,DONE,Preview/export buttons + topbar icons brand blue; UIB sliders/chips blue
UI-03,Global,Theme,Improve glow/dropshadow buttons (looks like AI slop),M,12k,DONE,Replaced neon glow + opacity-dim with crisp layered shadows + brand-soft hover
CONV-01,File Converter,New Tool,New file converter page: images+video formats (webp/mp4->GIF, 3D->blend); merge video-to-frames,XL,45k,DONE,/file-converter: image formats + video->GIF (ffmpeg.wasm CDN) + video->frames + 3D coming-soon; old tools kept
UIB-01,UI Builder,Layout,Improve UI builder dashboard UI,M,16k,DONE,Distinct preview backdrop + brand-blue chips/sliders/progress + section accent bars
PERF-01,Infra,Performance,Code-split routes with React.lazy() — 34 routes lazy-loaded (1.7MB→423KB),L,20k,DONE,75% bundle size reduction; Firebase/ColorStudio/Admin split into separate chunks
SEO-01,Infra,SEO,Add robots.txt and sitemap.xml with 23 public routes,S,4k,DONE,Disallow admin/settings/checkout; priorities by importance
SEO-02,Infra,SEO,Add og:image + twitter:image + og:site_name meta tags,S,3k,DONE,Points to /previews/og-image.png (needs asset created)
A11Y-01,Global,Accessibility,Add aria-labels to 18 icon-only buttons across 8 components,M,10k,DONE,ColorStudio/FontGallery/IconLibrary/BoxShadow/UIBuilder/TopBar/Sidebar/PromptLibrary
A11Y-02,File Converter,Accessibility,Keyboard-accessible drop zone + mobile breakpoints + progress bars,M,12k,DONE,role=button/tabIndex/onKeyDown; 768px+480px breakpoints; batch progress + spinner
RESIL-01,Global,Resilience,Add ErrorBoundary wrapping route Suspense — catches lazy-load crashes,M,8k,DONE,Shows reload button instead of blank page on component errors
LAND-04,Landing,Semantics,Improve semantic HTML — article tags + nav landmarks + trust bar a11y,S,6k,DONE,Highlight/pricing cards → article; footer columns → nav; removed aria-hidden from stats
INF-04,Infra,Code,Clean console statements for production,S,4k,DONE,DEV-only guards on console.warn/error; removed bare console.error in TopBar
ADM-05,Admin,Board,Update module board statuses — promote completed modules to live,M,8k,DONE,dashboard/admin/global-theme → live; added TDZ fix to recent changes
FIX-01,Color Studio,Bug,Fix production crash — TDZ violation in Rolldown bundle,S,6k,DONE,Moved randomPalette useCallback before dependent useEffect; PR #83 merged
AUDIT-01,Process,Audit,Full product audit of all 40 pages (inventories/completion scores/issue register/roadmap),XL,50k,DONE,docs/PRODUCT-AUDIT-2026-06-16.md; 6 parallel slice audits; build verified green; PR #85
FIX-P0-1,Auth,Login,Return user to original page after sign-in (location.state.from),M,10k,DONE,Login.jsx reads location.state.from for email + Google; PR #85
FIX-P0-2,Landing,Feedback,Feedback + Help Centre fail loudly instead of faking success,M,10k,DONE,Feedback.jsx + HelpCentre.jsx now check res.ok and show error; PR #85
FIX-P0-3,Help Centre,Forms,Fix saveFeedback() signature (was writing corrupt record),S,5k,DONE,HelpCentre.jsx now passes single entry object (was 4 positional args); PR #85
FIX-P0-4,AI Image Prompt Generator,Backend,Add per-user daily rate limit to scan-photo.js (was uncapped paid Gemini Vision),M,10k,DONE,Mirrors generate-prompt.js limit (toolId scan-photo); PR #85
FIX-P1-1,Color Studio,Undo,Broaden undo to all palette-wiping actions,M,14k,DONE,Now covers Apply-Brand / Apply-Design-System / Image-Extract / swatch removal (was Reset only); PR #85
FIX-P1-2,Color Studio,UI States,Surface image-extract error toast + named-colour empty state,M,10k,DONE,Toast on extract failure; No colours found empty state; PR #85
FIX-P1-3,FontMatcher,UI States,Error + Retry state on fetchFonts failure (was stuck loading),M,10k,DONE,Added .catch + error state with Retry; PR #85
FIX-P1-4,UI Auto-Builder,Resilience,Logo-extract try/catch/finally so corrupt image resets button,S,8k,DONE,AutoBuilder.jsx extract guard; surfaces error + resets state; PR #85
FIX-P1-5,Global,UI States,Empty states for EmojiLibrary + FontGallery; PromptLibrary oversized-media warning,M,10k,DONE,Empty-search states + warn on dropped media >900KB; PR #85
A11Y-03,Global,Accessibility,Accessibility pass: ColorStudio ARIA tablist + keyboard swatches; Projects/Onboarding/Docs/Admin,L,20k,DONE,Input aria-labels; keyboard-operable cells; chart role=img + module-search label; PR #85
CLEANUP-01,Global,Code,Dead-code + orphaned CSS removal; fix DocsMarketing TOC layout,M,12k,DONE,Removed hero video + landing/bento CSS + ContrastBadge + unused imports/refs/props/i18n; DocsMarketing uses .sec/.sec-h; PR #85
FIX-02,UI Builder,Resilience,Harden clipboard calls for insecure contexts,S,6k,DONE,navigator.clipboard wrapped / routed through safe onCopy; PR #86
BACKEND-01,Payments / Stripe,Retention,Replace fake in-app cancel offers with Stripe native portal retention/cancellation,L,22k,BLOCKED,create-portal.js flow_data deep-link + optional STRIPE_RETENTION_COUPON; PR #87. OWNER: create coupon + enable cancellation/retention in Stripe Customer Portal config
BACKEND-02,Projects,Sync,Cross-device project sync via Firestore users/{uid}/sync/projects,L,25k,DONE,Non-destructive merge + offline-safe; PR #87. v1 caveat: deletes do not propagate across devices
BACKEND-03,Admin,Analytics,Server-side aggregate analytics (analytics-daily counters) + All users panel,L,25k,BLOCKED,Local charts relabelled This device; firestore.rules + Privacy.jsx updated; PR #87. OWNER: publish firestore.rules to populate aggregate panel
